model,inner_seed,train_rmse,val_rmse,gap,train_ci_high,val_ci_low,margin,overlap,points
ridge|levels_plus a=100,42,209.0366248381498,220.12036044516833,11.083735607018525,220.086061413689,194.88478689288448,25.20127452080453,True,15
ridge|levels_plus a=100,7,210.36793492368955,214.98673414609516,4.618799222405613,221.32902010585818,194.08510664067072,27.24391346518746,True,15
ridge|levels_plus a=100,2024,211.14309961170227,211.89127589061349,0.7481762789112167,222.80312170512985,192.0425692414166,30.760552463713253,True,15
ridge|levels a=10,42,208.93401123923118,220.27776270988784,11.343751470656656,219.97700257811965,194.9230734527104,25.05392912540924,True,15
ridge|levels a=10,7,210.27637975901717,214.97702272531362,4.700642966296442,221.268821925704,194.13338729643706,27.13543462926694,True,15
ridge|levels a=10,2024,211.04577599094551,211.89873457415175,0.852958583206231,222.6774891803642,191.98298262787017,30.694506552494033,True,15
catboost d6 it800,42,201.98859719312594,219.50205190776987,17.513454714643927,211.8249391542726,194.29663248628884,17.52830666798377,True,15
catboost d6 it800,7,203.60465389211612,213.51715441197334,9.912500519857218,213.7527740157733,192.58018798570612,21.17258603006718,True,15
catboost d6 it800,2024,203.19988086898547,211.6646188327444,8.464737963758921,213.5335109461133,191.90984627337193,21.62366467274137,True,15
hgb it400,42,198.4490380452087,222.5983552305677,24.149317185358996,207.43433122593015,197.72286899996288,9.711462225967267,True,15
hgb it400,7,195.98123259482992,217.99965152824737,22.01841893341745,204.9993575079814,197.49537167110327,7.503985836878115,True,15
hgb it400,2024,197.2076225191028,214.75769674332338,17.550074224220566,206.35029666995322,195.36204797965914,10.988248690294085,True,15
lgbm n600,42,175.88300939985996,222.97321371206877,47.09020431220881,182.68356975192805,198.17096378937833,-15.487394037450287,False,0
lgbm n600,7,177.4313222575485,217.38679233943898,39.955470081890496,184.6536440367065,197.00153244750865,-12.347888410802142,False,0
lgbm n600,2024,177.56610818126282,215.16791147850728,37.60180329724446,184.7217403757706,195.76652108499545,-11.044780709224852,False,0
