seed,n_train,val_rmse
42,4000,220.61519770322565
42,8000,216.15365585949672
42,16000,213.48394750324547
42,32000,212.50637249840565
42,44000,212.40228577626183
42,52000,212.11059051096416
7,4000,213.40000010241044
7,8000,209.569161204233
7,16000,207.61657702677337
7,32000,206.54668723042002
7,44000,206.28597520412927
7,52000,206.08076978256636
2024,4000,219.50920448948872
2024,8000,216.27798245275477
2024,16000,214.43867815852863
2024,32000,213.70829795962285
2024,44000,213.5376844471647
2024,52000,213.51907002887395
